19629,21451,22809,23798,24555,25070,25419,25683
25862,25845,24884,22682,19340,15683,12203,9230
6771,4875,3503,2484,1742,1188,835,565
335,182,72,1,-102,-168,-230,-263
-342,-407,-477,-548,-567,-596,-630,-648
-692,-726,-743,-749,-779,-777,-796,-801
-833,-852,-857,-854,-863,-901,-920,-933
-958,-999,-1032,-1015,-1044,-1068,-1062,-1044
-1032,-1064,-1059,-1066,-1045,-1073,-1075,-1052
-1062,-1083,-1091,-1090,-1111,-1103,-1093,-1093
-1121,-1140,-1137,-1170,-1149,-1152,-1175,-1257
-1417,-1567,-1714,-1801,-1888,-1924,-1933,-1898
-1903,-1876,-1850,-1826,-1801,-1786,-1733,-1577
-1438,-1279,-1155,-990,-935,-869,-825,-790
-788,-804,-818,-830,-826,-847,-844,-850
-841,-843,-865,-875,-878,-867,-854,-854
145,3629,185,26,12231,-972,0
