23674,24367,24842,25179,25429,25410,24347,21961
18600,14984,11684,8734,6409,4625,3289,2338
1635,1117,778,484,290,141,41,-61
-181,-228,-267,-344,-351,-410,-449,-478
-502,-540,-545,-558,-579,-609,-646,-627
-684,-707,-741,-771,-839,-841,-869,-885
-888,-891,-873,-891,-908,-835,-909,-911
-928,-921,-939,-961,-986,-969,-992,-1005
-1023,-1022,-1009,-1012,-1034,-1060,-1055,-1029
-1051,-1027,-993,-1023,-1034,-1012,-1023,-1063
-1086,-1062,-1052,-1111,-1214,-1370,-1504,-1610
-1713,-1783,-1790,-1806,-1837,-1833,-1817,-1801
-1790,-1775,-1706,-1598,-1443,-1253,-1097,-978
-910,-839,-792,-749,-763,-739,-747,-747
-754,-752,-753,-751,-784,-781,-791,-810
-834,-818,-820,-839,-855,-850,-842,-842
163,4395,208,16,12232,-947,1771304034
