23680,24365,24848,25199,25426,25398,24335,21908
18567,14987,11662,8707,6390,4631,3306,2355
1642,1127,775,488,299,146,32,-81
-179,-215,-281,-344,-360,-398,-434,-482
-514,-537,-521,-560,-581,-612,-653,-618
-674,-683,-754,-779,-826,-832,-875,-899
-885,-881,-888,-920,-904,-847,-906,-906
-898,-903,-955,-964,-975,-968,-1007,-1015
-1014,-1003,-1034,-1038,-1057,-1050,-1041,-1040
-1057,-1007,-1006,-1023,-1045,-1012,-1039,-1071
-1056,-1052,-1069,-1120,-1206,-1354,-1506,-1625
-1715,-1763,-1791,-1824,-1830,-1830,-1811,-1800
-1791,-1770,-1725,-1610,-1440,-1257,-1106,-989
-894,-820,-808,-792,-764,-742,-751,-756
-745,-746,-758,-751,-765,-765,-799,-819
-822,-815,-833,-850,-842,-842,-860,-860
175,4724,213,18,12231,-957,1771304038
