24884,25175,25445,25621,25532,24466,22001,18652
15036,11647,8751,6409,4624,3332,2340,1635
1134,754,472,257,130,-37,-98,-198
-265,-290,-355,-403,-427,-476,-514,-540
-549,-564,-621,-603,-711,-651,-695,-736
-759,-778,-872,-861,-881,-909,-947,-924
-919,-966,-950,-932,-897,-963,-964,-973
-993,-1051,-1017,-1024,-1043,-1066,-1058,-1057
-1062,-1064,-1087,-1106,-1094,-1094,-1121,-1119
-1072,-1064,-1100,-1096,-1081,-1112,-1140,-1125
-1119,-1177,-1303,-1414,-1569,-1663,-1777,-1857
-1836,-1883,-1880,-1877,-1887,-1859,-1847,-1832
-1801,-1773,-1632,-1481,-1301,-1140,-1054,-940
-866,-851,-823,-809,-764,-790,-805,-787
-787,-783,-805,-825,-812,-852,-872,-870
-874,-890,-896,-891,-895,-910,-903,-903
174,4712,216,18,12232,-1006,1771304049
