24425,24930,25260,25498,25692,25613,24491,22110
18737,15085,11702,8768,6458,4635,3324,2366
1633,1132,737,465,269,108,-16,-112
-214,-271,-308,-355,-394,-439,-475,-500
-546,-575,-597,-602,-626,-718,-645,-691
-732,-772,-780,-863,-865,-927,-936,-927
-922,-964,-970,-958,-941,-930,-990,-961
-973,-1026,-1037,-1021,-1029,-1066,-1064,-1026
-1062,-1089,-1076,-1086,-1116,-1122,-1115,-1117
-1119,-1102,-1087,-1097,-1103,-1111,-1101,-1114
-1131,-1133,-1173,-1277,-1423,-1588,-1709,-1764
-1839,-1886,-1892,-1893,-1889,-1902,-1866,-1839
-1842,-1832,-1780,-1650,-1476,-1314,-1146,-1015
-947,-891,-839,-816,-797,-803,-794,-775
-787,-804,-806,-811,-816,-820,-863,-859
-864,-886,-895,-889,-906,-908,-905,-905
172,4652,209,18,12231,-1004,1771304055
