23724,24406,24892,25232,25475,25449,24364,21982
18647,15014,11667,8714,6418,4620,3302,2360
1653,1122,771,479,280,127,31,-64
-176,-231,-302,-330,-360,-411,-441,-461
-499,-544,-553,-548,-585,-616,-658,-613
-697,-719,-754,-761,-839,-865,-881,-863
-891,-900,-918,-908,-897,-856,-906,-904
-898,-936,-951,-961,-976,-999,-1011,-1002
-1013,-1035,-1028,-1021,-1043,-1083,-1052,-1034
-1051,-1035,-1026,-1032,-1034,-1040,-1039,-1047
-1060,-1075,-1080,-1105,-1210,-1381,-1524,-1614
-1714,-1790,-1818,-1816,-1828,-1837,-1824,-1798
-1792,-1787,-1722,-1600,-1441,-1281,-1114,-984
-908,-857,-793,-766,-759,-762,-762,-739
-740,-758,-761,-754,-759,-792,-797,-809
-838,-839,-843,-837,-850,-862,-862,-862
163,4407,214,14,12231,-951,1771304033
