23781,24446,24938,25277,25525,25484,24409,21966
18612,15004,11689,8703,6404,4655,3321,2369
1652,1144,799,491,307,154,43,-71
-165,-235,-280,-337,-368,-397,-434,-480
-496,-516,-535,-563,-575,-600,-641,-627
-664,-690,-735,-758,-818,-824,-859,-902
-889,-893,-902,-941,-902,-846,-902,-903
-900,-912,-950,-977,-969,-958,-988,-999
-1000,-1002,-1017,-1025,-1030,-1039,-1036,-1049
-1057,-1010,-1001,-1034,-1035,-1004,-1024,-1066
-1074,-1068,-1067,-1127,-1203,-1350,-1500,-1617
-1702,-1762,-1805,-1820,-1822,-1800,-1809,-1805
-1805,-1770,-1725,-1605,-1450,-1266,-1114,-984
-900,-834,-811,-778,-759,-726,-743,-745
-734,-730,-734,-759,-767,-768,-784,-816
-818,-830,-830,-850,-853,-831,-852,-852
166,4477,214,14,12235,-946,1771304031
