24471,24965,25303,25540,25519,24447,22042,18675
15048,11704,8751,6406,4637,3333,2371,1649
1141,774,487,297,131,21,-93,-181
-233,-294,-337,-365,-424,-433,-471,-516
-550,-540,-557,-602,-615,-654,-613,-677
-702,-758,-784,-850,-848,-869,-902,-906
-900,-894,-906,-925,-872,-916,-909,-925
-932,-958,-965,-976,-980,-996,-1006,-1016
-1023,-1035,-1035,-1057,-1071,-1030,-1047,-1085
-1049,-1008,-1037,-1058,-1050,-1043,-1070,-1084
-1071,-1088,-1114,-1238,-1372,-1509,-1632,-1721
-1770,-1810,-1819,-1850,-1846,-1826,-1796,-1814
-1797,-1749,-1614,-1457,-1283,-1117,-997,-910
-849,-804,-783,-775,-750,-744,-744,-746
-750,-746,-765,-771,-803,-801,-814,-842
-847,-841,-857,-870,-867,-846,-873,-873
166,4498,209,19,12235,-942,1771304037
