23686,24366,24855,25197,25449,25418,24345,21964
18611,14990,11670,8718,6397,4629,3314,2366
1650,1135,790,493,293,138,45,-76
-179,-239,-295,-341,-359,-419,-444,-485
-513,-541,-547,-565,-589,-611,-634,-602
-675,-706,-731,-758,-834,-840,-868,-874
-886,-890,-900,-899,-904,-857,-903,-896
-917,-928,-953,-971,-993,-986,-998,-998
-1016,-1032,-1028,-1022,-1033,-1050,-1029,-1030
-1048,-1036,-1009,-1028,-1051,-1032,-1018,-1058
-1075,-1058,-1067,-1110,-1215,-1370,-1492,-1606
-1703,-1775,-1793,-1824,-1835,-1823,-1807,-1802
-1795,-1771,-1727,-1605,-1449,-1282,-1112,-987
-913,-848,-794,-784,-774,-751,-744,-740
-755,-746,-740,-751,-752,-762,-780,-814
-824,-832,-833,-840,-852,-862,-846,-846
161,4343,201,19,12230,-940,1771304035
