24471,24972,25312,25550,25741,25645,24523,22086
18709,15089,11718,8766,6438,4638,3322,2364
1651,1137,745,450,265,109,-11,-114
-210,-254,-307,-357,-396,-444,-468,-517
-549,-564,-594,-598,-633,-696,-647,-724
-734,-740,-792,-877,-867,-899,-926,-954
-930,-932,-961,-959,-943,-920,-1000,-985
-979,-989,-1042,-1025,-1021,-1043,-1051,-1065
-1082,-1064,-1066,-1093,-1132,-1129,-1122,-1132
-1123,-1088,-1081,-1110,-1087,-1082,-1105,-1140
-1128,-1101,-1163,-1295,-1447,-1564,-1701,-1793
-1842,-1870,-1877,-1906,-1904,-1885,-1868,-1858
-1841,-1825,-1776,-1654,-1481,-1301,-1148,-1029
-951,-872,-838,-819,-799,-799,-784,-806
-792,-783,-789,-808,-815,-837,-835,-875
-877,-869,-891,-916,-890,-898,-897,-897
188,5074,226,17,12231,-1007,1771304051
